Name,Description
Chives (Allium schoenoprasum)," Perennial herb that produces purple, globe-shaped flowers in early spring (March-April). They require moderate watering and full sun."
Hops (Humulus lupulus)," Climbing plants that bloom in spring, with greenish-yellow flowers. They need moderate water and grow best in full sun."
Achillea (Achillea millefolium)," Perennial flowers that bloom in late spring to early summer, typically in yellow, white, or pink. They require moderate watering and full sun."
Daylilies (Hemerocallis spp.), Resilient perennials with trumpet-shaped flowers that bloom from late spring to summer. They need moderate watering and thrive in well-drained soil.
Siberian Squill (Scilla siberica)," Small, star-like flowers that bloom in early spring (March-April), typically in blue. They need moderate water and prefer well-drained soil."
Bleeding Heart (Dicentra spectabilis), Perennial plant with heart-shaped pink or white flowers that bloom in early spring (March-May). It thrives in shaded areas and needs moderate watering.
Lupine (Lupinus spp.)," Tall flowers with spiky blooms in purple, pink, and blue that bloom in April-June. They prefer moderate watering and well-drained soil."
Cineraria (Pericallis x hybrida)," Bright, daisy-like flowers in shades of purple, red, or blue that bloom from March-May. They need moderate watering and cooler, shaded areas."
Hellebore (Helleborus spp.)," Early bloomers with cup-shaped flowers in shades of purple, white, and green that appear in February-March. They require moderate water and grow well in shaded spots."
Dutch Iris (Iris hollandica)," Elegant flowers with large blooms in blue, yellow, and purple that bloom in late spring (April-May). They prefer well-drained soil and moderate watering."
Fritillaria (Fritillaria imperialis)," Unique flowers with bell-shaped petals and a checkerboard pattern, blooming in early spring (March-April). They need moderate watering and full sun."
Saxifrage (Saxifraga spp.)," Small, star-like flowers in pink, white, or red that bloom in early spring (March-April). They need moderate water and thrive in moist, well-drained soil."
Muscari (Muscari spp.), Grape-like clusters of small blue flowers that bloom from March-April. They thrive in full sun and need moderate watering.
Allium (Allium giganteum)," Large, spherical clusters of small purple flowers that bloom in late spring (May-June). They require moderate water and full sun."
Corydalis (Corydalis spp.)," Delicate flowers in shades of purple, blue, and yellow that bloom in early spring (March-April). They prefer shaded areas and moderate watering."
Vinca (Vinca minor), Evergreen groundcover with purple or blue flowers that bloom in early spring (March-April). They thrive in partial shade and need moderate water.
Virginia Bluebell (Mertensia virginica)," Bell-shaped, blue flowers that bloom in early spring (March-April). They prefer moist, shaded areas and require moderate watering."
Aubrieta (Aubrieta deltoidea)," Low-growing, vibrant purple or pink flowers that bloom in early spring (March-April). They need moderate watering and full sun."
Scilla (Scilla siberica)," Small, star-like blue flowers that bloom in early spring (March-April). They require moderate water and thrive in well-drained soil."
Windflower (Anemone blanda)," Brightly colored flowers in blue, purple, or pink that bloom in early spring (March-April). They prefer moderate watering and shaded areas."
Columbine (Aquilegia spp.)," Spurred flowers in shades of blue, red, yellow, and purple that bloom from March-May. They need moderate watering and grow well in full sun."
Sweet Pea (Lathyrus odoratus)," Fragrant, climbing flowers in pink, purple, and white that bloom from March-May. They require moderate water and full sun."
Crocus (Crocus chrysanthus), Bright yellow flowers that bloom from February-March. They need moderate watering and prefer sunny spots.
Ranunculus (Ranunculus asiaticus)," Rose-like blooms in bright colors like pink, yellow, and orange that appear from March-May. They need moderate watering and well-drained soil."
Hesperis (Hesperis matronalis)," Fragrant, purple or white flowers that bloom in late spring (April-May). They need moderate watering and full sun."
Geranium (Geranium spp.)," Perennial plants with colorful flowers in pink, purple, and red that bloom in spring. They require moderate water and grow best in well-drained soil."
Periwinkle (Vinca major), Evergreen groundcover with blue or purple flowers that bloom in early spring (March-April). They need moderate watering and partial shade.
Silene (Silene dioica), Bright pink or white flowers that bloom from March to May. They thrive in well-drained soil and need moderate water.
Astilbe (Astilbe spp.)," Feathery, plume-like flowers in shades of pink, red, and white that bloom in late spring (April-June). They require moderate watering and shaded areas."
Phlox (Phlox paniculata)," Fragrant flowers in pink, white, or purple that bloom from April to June. They thrive in sunny areas and need moderate watering."
Ajuga (Ajuga reptans), Groundcover with purple or blue flowers that bloom in spring (April-May). It prefers moderate watering and grows well in partial shade.
Rudbeckia (Rudbeckia hirta)," Large, daisy-like flowers in yellow and orange that bloom in late spring to summer (May-June). They need moderate watering and full sun."
Poppy (Papaver spp.)," Colorful, papery flowers in shades of red, pink, and orange that bloom in spring (March-May). They thrive in full sun and require moderate water."
Marigold (Tagetes spp.)," Bright yellow, orange, and red flowers that bloom from April to June. They require moderate watering and full sun."
Alyssum (Lobularia maritima)," Tiny white, pink, or purple flowers that bloom in early spring (March-May). They need moderate watering and grow best in full sun."
Tansy (Tanacetum vulgare)," Yellow, button-like flowers that bloom in late spring (May-June). They need moderate water and full sun."
Lady’s Mantle (Alchemilla mollis)," Soft, greenish-yellow flowers that bloom in late spring (May-June). They thrive in well-drained soil and need moderate watering."
Mallow (Malva spp.)," Pink, purple, or white flowers that bloom from March to May. They prefer well-drained soil and need moderate watering."
Yarrow (Achillea millefolium)," Flat-topped clusters of small white, pink, or yellow flowers that bloom from late spring to summer (May-July). They require moderate watering and full sun."
Clematis (Clematis spp.)," Vining plants with large, showy flowers in purple, red, or white that bloom from April-May. They need moderate water and thrive in sunny spots."
Borage (Borago officinalis)," Blue, star-shaped flowers that bloom from late spring to summer (May-June). They require moderate water and full sun."
Sweet William (Dianthus barbatus)," Fragrant, clove-scented flowers in pink, red, and white that bloom from March to May. They need moderate water and full sun."
Lobelia (Lobelia erinus)," Small, blue or purple flowers that bloom in early spring (March-May). They require moderate watering and grow well in full sun or partial shade."
Viburnum (Viburnum spp.)," Small, fragrant flowers in white or pink that bloom in early spring (March-April). They need moderate water and thrive in partial sun."
Cabbage (Brassica oleracea)," Leafy vegetable with tightly packed, broad leaves that bloom with small yellow flowers in late spring (April-May). They need moderate water and full sun."
Tulip Tree (Liriodendron tulipifera), Large tree with yellow-green tulip-shaped flowers blooming in spring (April-May). Needs moderate watering and prefers full sun.
Indian Paintbrush (Castilleja spp.), Bright red or orange flowers that bloom in spring (March-May). They thrive in full sun and need moderate watering.
Dogwood (Cornus florida)," Tree with showy, white or pink flowers blooming in early spring (March-April). They need moderate water and grow best in partial shade."
Shadblow (Amelanchier spp.), White flowers that bloom in early spring (March-April). They need moderate water and thrive in well-drained soil.
Chionodoxa (Chionodoxa luciliae)," Star-shaped, blue flowers that bloom in early spring (March-April). They prefer moderate watering and full sun."
Mertensia (Mertensia virginica)," Bluebell-like flowers that bloom in early spring (March-April). They prefer moist, shaded areas and need moderate watering."
Jacob’s Ladder (Polemonium caeruleum), Blue or purple flowers blooming in spring (April-May). They thrive in full sun and need moderate watering.
Lady’s Slipper Orchid (Cypripedium spp.)," Unique orchid with slipper-shaped flowers in pink or yellow, blooming in spring (April-May). They need moderate water and grow in shaded areas."
Shooting Star (Dodecatheon meadia)," Star-shaped flowers in pink, purple, or white that bloom in spring (March-April). They require moderate water and prefer partial shade."
Ginger (Asarum spp.)," Low-growing plants with dark green leaves and small, purple or brown flowers that bloom in spring (March-April). They need moderate watering and grow well in shade."
Golden Seal (Hydrastis canadensis)," Small, white flowers with yellow berries that bloom in spring (April-May). They thrive in shaded, moist areas and need moderate water."
Wormwood (Artemisia absinthium), Silver-gray foliage with small yellow flowers blooming in late spring (May-June). Needs moderate water and full sun.
Cress (Lepidium sativum), Fast-growing herb with small white flowers blooming in spring (March-April). It requires moderate water and prefers full sun.
Feverfew (Tanacetum parthenium)," White, daisy-like flowers that bloom from early spring to summer (April-June). It needs moderate water and thrives in full sun."
Goldenrod (Solidago spp.), Small yellow flowers that bloom in late spring to summer (May-August). They need moderate water and grow well in full sun.
Alum Root (Heuchera spp.), Small flowers in pink or white that bloom in spring (April-May). They prefer shady areas and need moderate watering.
Redbud Tree (Cercis canadensis)," Small, pink or purple flowers that bloom in early spring (March-April). They require moderate water and thrive in full sun."
Winter Aconite (Eranthis hyemalis)," Bright yellow, cup-shaped flowers that bloom in early spring (February-March). They need moderate watering and grow well in partial shade."
Coltsfoot (Tussilago farfara)," Yellow, dandelion-like flowers that bloom in early spring (March-April). They need moderate water and prefer full sun."
Corydalis (Corydalis lutea), Yellow or pink tubular flowers blooming from March to May. They thrive in shaded areas and need moderate water.
Wild Geranium (Geranium maculatum)," Purple or pink flowers that bloom in spring (April-May). They prefer shaded, moist areas and require moderate watering."
Snowflake (Leucojum vernum)," White, drooping flowers that bloom in early spring (March-April). They need moderate water and grow well in shaded spots."
Grape Hyacinth (Muscari spp.)," Small, bell-shaped blue flowers that bloom in early spring (March-April). They thrive in full sun and need moderate watering."
Heather (Calluna vulgaris)," Pink, purple, or white flowers that bloom in early spring (March-April). They require moderate water and prefer acidic, well-drained soil."
Feverfew (Tanacetum parthenium)," White, daisy-like flowers that bloom in early spring to summer (April-June). They thrive in sunny spots and need moderate watering."
Spring Beauty (Claytonia virginica)," Small, pink or white flowers that bloom in early spring (March-April). They need moderate water and grow best in shaded areas."
Wild Strawberry (Fragaria vesca), White flowers that bloom in early spring (March-April) followed by edible fruit. They prefer full sun and need moderate water.
Violet (Viola spp.)," Purple, blue, or white flowers that bloom in spring (March-May). They thrive in partial shade and require moderate watering."
Spiderwort (Tradescantia spp.)," Purple, blue, or pink flowers that bloom in spring (April-May). They need moderate watering and prefer full sun or partial shade."
Lobelia (Lobelia erinus)," Small, blue or purple flowers that bloom in spring (March-May). They thrive in full sun and need moderate watering."
Wisteria (Wisteria sinensis), Cascading clusters of purple or white flowers that bloom in spring (April-May). They need moderate water and grow well in full sun.
Honeysuckle (Lonicera spp.)," Sweet-smelling flowers in pink, yellow, or white that bloom from spring to summer (April-June). They need moderate watering and full sun."
Bergenia (Bergenia crassifolia)," Bold, leathery leaves with pink or red flowers blooming in early spring (March-April). They thrive in shady areas and need moderate water."
Dandelion (Taraxacum officinale), Bright yellow flowers that bloom in early spring (March-April). They need moderate water and grow in a variety of conditions.
Lungwort (Pulmonaria spp.)," Blue or pink flowers that bloom in early spring (March-April). They need moderate watering and prefer shady, moist areas."
Wood Anemone (Anemone nemorosa), White or purple flowers that bloom in early spring (March-April). They thrive in shaded woodlands and need moderate water.
Phlox (Phlox subulata)," Small, colorful flowers in shades of pink, white, and purple that bloom from April-May. They require moderate water and full sun."
Astilbe (Astilbe x arendsii)," Feathery flowers in pink, red, or white that bloom in spring (April-May). They need moderate water and prefer shaded areas."
Sundew (Drosera spp.)," Carnivorous plant with small, sticky flowers blooming in spring (April-May). It requires moderate watering and grows in boggy areas."
Primula (Primula vulgaris)," Bright, colorful flowers in shades of yellow, pink, or purple that bloom in early spring (March-April). They need moderate water and thrive in cool, shaded areas."
Siberian Iris (Iris sibirica)," Elegant flowers in shades of purple, blue, or white blooming in late spring (May-June). Prefers moist soil and moderate water."
Siberian Pea Shrub (Caragana arborescens), Small yellow flowers that bloom in late spring (May-June). Thrives in full sun with moderate water.
Russian Sage (Perovskia atriplicifolia), Lavender-blue flowers blooming in late spring (May-June). Thrives in full sun and well-drained soil.
Golden Currant (Ribes aureum), Yellow or red flowers blooming in late spring (April-May). Prefers full sun and moderate watering.
Wild Ginger (Asarum europaeum), Low-growing plant with heart-shaped leaves and small reddish-brown flowers that bloom in early spring (April). Grows in shaded areas and moist soil.
Snowdrop (Galanthus nivalis)," Small, white flowers blooming in early spring (March). Grows in shaded, moist areas with moderate watering."
Creeping Jenny (Lysimachia nummularia), Yellow flowers blooming in late spring (May-June). Prefers partial shade and moist soil.
Creeping Thyme (Thymus serpyllum), Tiny purple flowers blooming in spring (May-June). Prefers full sun and well-drained soil.
Alpine Aster (Aster alpinus), Purple or blue flowers blooming in spring (May-June). Thrives in well-drained soil and moderate water.
Mertensia (Mertensia virginica)," Bluebell-like flowers that bloom in early spring (March-April). Prefers moist, shaded areas."
Lily of the Valley (Convallaria majalis), Fragrant white flowers blooming in early spring (April-May). Grows in shaded areas with moderate watering.
Spring Beauty (Claytonia virginica)," Small pink or white flowers blooming in early spring (March-April). Thrives in shaded, moist soil."
Moscow Bluebell (Campanula spp.), Bluebell-like flowers blooming in late spring (May-June). Prefers full sun and moderate water.
Common Coltsfoot (Tussilago farfara), Yellow flowers blooming in early spring (March). Grows in full sun with moderate watering.
Wood Anemone (Anemone nemorosa), White or purple flowers blooming in early spring (March-April). Prefers shaded woodlands and moist soil.
Common Primrose (Primula vulgaris)," Colorful flowers in shades of yellow, pink, or purple blooming in early spring (March-April). Thrives in shaded, moist soil."
Purple Loosestrife (Lythrum salicaria), Tall purple flowers blooming in late spring (May-June). Thrives in wet areas and requires moderate watering.
Celandine (Chelidonium majus)," Yellow flowers blooming in early spring (April-May). Grows well in shaded, moist areas."
Russian Comfrey (Symphytum × uplandicum), Purple flowers blooming in spring (April-May). Prefers moist soil and partial sun.
Violet (Viola spp.)," Purple, blue, or white flowers blooming in spring (March-May). Prefers shaded areas with moderate water."
Pasque Flower (Anemone patens)," Purple, cup-shaped flowers blooming in early spring (March-April). Thrives in well-drained soil and full sun."
Common Elder (Sambucus nigra), White flowers blooming in late spring (May-June). Prefers full sun and moderate watering.
Siberian Tiger Lily (Lilium tigrinum), Orange flowers with black spots blooming in late spring (May-June). Thrives in full sun with moderate water.
Edelweiss (Leontopodium alpinum)," White, star-shaped flowers blooming in late spring to early summer (May-June). Grows well in mountainous, well-drained soil."
Bearberry (Arctostaphylos uva-ursi)," Small, white or pink flowers blooming in late spring (May-June). Thrives in sandy, well-drained soil."
Hellebore (Helleborus spp.)," Cup-shaped flowers in shades of white, purple, or green blooming in early spring (March-April). Prefers shaded areas with moderate watering."
Spotted Deadnettle (Lamium maculatum), Purple or pink flowers blooming in late spring (April-May). Prefers partial shade and moderate water.
Blackcurrant (Ribes nigrum)," Small, greenish-white flowers blooming in spring (April-May). Thrives in full sun with moderate water."
Spring Crocus (Crocus vernus)," Purple, yellow, or white flowers blooming in early spring (March-April). Prefers full sun and well-drained soil."
Lamb’s Ear (Stachys byzantina)," Soft, silvery leaves with small purple flowers blooming in late spring (May-June). Prefers full sun and well-drained soil."
Common Buttercup (Ranunculus acris)," Bright yellow flowers blooming in spring (April-May). Grows in moist, well-drained soil."
Goldenrod (Solidago spp.), Yellow flowers blooming from late spring to fall (May-June). Prefers full sun with moderate watering.
Mountain Arnica (Arnica montana)," Yellow flowers blooming in late spring (May-June). Thrives in well-drained, rocky soil."
Lupine (Lupinus spp.)," Tall spikes of purple, blue, or pink flowers blooming in late spring (May-June). Prefers well-drained soil and full sun."
Lamb’s Lettuce (Valerianella locusta)," Small, delicate flowers blooming in spring (April-May). Grows well in full sun with moderate watering."
Wild Rose (Rosa spp.), Pink or red flowers blooming in late spring (May-June). Prefers full sun and well-drained soil.
Mountain Laurel (Kalmia latifolia)," Clusters of pink or white flowers blooming in late spring (May-June). Thrives in acidic, well-drained soil."
Meadow Rue (Thalictrum spp.)," Delicate flowers in shades of purple, pink, or white blooming in late spring (May-June). Prefers moist soil and partial shade."
Wild Strawberries (Fragaria vesca)," White flowers blooming in early spring (March-April), followed by edible red fruit. Grows well in full sun and requires moderate water."
Poppy (Papaver spp.)," Brightly colored flowers in red, orange, or yellow blooming in late spring to early summer (May-June). Prefers full sun and well-drained soil."
Arctic Poppy (Papaver radicatum)," Small, bright yellow flowers blooming in early spring (May). Thrives in cold, mountainous regions with well-drained soil."
Siberian Squill (Scilla siberica)," Bright blue flowers blooming in early spring (April-May). Prefers well-drained, moist soil in full sun or partial shade."
Columbine (Aquilegia spp.)," Delicate flowers in shades of purple, red, or blue blooming in late spring (May-June). Prefers well-drained, slightly acidic soil and partial shade."
Siberian Larch (Larix sibirica)," Small, cone-shaped flowers blooming in early spring (April). This tree prefers cold climates and well-drained soil."
Creeping Juniper (Juniperus horizontalis), Greenish-blue berries and tiny flowers blooming in early spring (April-May). Grows in full sun with moderate watering.
Yellow Rattle (Rhinanthus minor)," Small yellow flowers blooming in late spring (May-June). Grows well in dry, poor soil in full sun."
Rhododendron (Rhododendron spp.)," Large clusters of pink, white, or purple flowers blooming in spring (May). Prefers acidic, moist, well-drained soil."
Russian Olive (Elaeagnus angustifolia), Small yellow flowers blooming in late spring (May-June). Thrives in full sun and well-drained soil.
Alpine Buttercup (Ranunculus alpestris)," Yellow flowers blooming in early spring (May). Prefers rocky, well-drained soil in sunny areas."
Creeping Barberry (Berberis canadensis), Yellow flowers blooming in early spring (April-May). Grows in full sun with moderate watering.
Snowdrop Anemone (Anemone sylvestris)," White flowers blooming in early spring (April-May). Prefers moist, well-drained soil and full sun."
Tamarisk (Tamarix spp.), Pink or white flowers blooming in late spring (May-June). Prefers full sun and well-drained soil.
Siberian Meadowsweet (Filipendula ulmaria)," White or pink flowers blooming in late spring (May-June). Thrives in moist, well-drained soil."
Siberian Bluebell (Campanula sibirica)," Blue flowers blooming in early spring (April-May). Prefers shaded, moist soil."
Wormwood (Artemisia absinthium)," Small, yellowish flowers blooming in late spring (May-June). Thrives in dry, well-drained soil in full sun."
Dogwood (Cornus spp.)," White, pink, or red flowers blooming in late spring (May-June). Prefers moist, well-drained soil and partial shade."
Red Clover (Trifolium pratense), Pink or purple flowers blooming in late spring (May-June). Prefers full sun and moderate watering.
Sweet Woodruff (Galium odoratum)," White flowers blooming in spring (April-May). Thrives in shady, moist soil."
Common Grape Hyacinth (Muscari armeniacum)," Blue, bell-shaped flowers blooming in early spring (April-May). Prefers full sun or partial shade and well-drained soil."
Russian Sagebrush (Artemisia dracunculus)," Aromatic green foliage with tiny yellow flowers blooming in late spring (May). Prefers dry, well-drained soil and full sun."
Spring Snowflake (Leucojum vernum)," White flowers with green tips blooming in early spring (March-April). Thrives in moist, shaded areas."
Periwinkle (Vinca minor)," Purple or blue flowers blooming in early spring (March-April). Prefers partial shade and moist, well-drained soil."
European Elderberry (Sambucus nigra)," White flowers blooming in late spring (May-June). Thrives in moist, well-drained soil."
Red-twig Dogwood (Cornus sericea)," White or cream flowers blooming in late spring (May). Prefers moist, well-drained soil in partial sun."
Mountain Avens (Dryas octopetala)," White or yellow flowers blooming in early spring (April-May). Prefers dry, well-drained soil in full sun."
Juniper (Juniperus spp.)," Small, blue or purple berries and inconspicuous flowers blooming in early spring (March-April). Grows in dry, well-drained soil."
Golden Fleece (Thymus pulegioides), Tiny yellow flowers blooming in late spring (May-June). Thrives in full sun and well-drained soil.
Scabiosa (Scabiosa spp.), Lavender or purple flowers blooming in late spring (May-June). Prefers well-drained soil and full sun.
Lesser Periwinkle (Vinca minor), Purple-blue flowers blooming in early spring (March-April). Prefers shaded areas with moist soil.
False Indigo (Baptisia australis), Blue flowers blooming in late spring (May-June). Prefers well-drained soil and full sun.
Silverberry (Elaeagnus commutata)," Small yellow or silver flowers blooming in late spring (May). Prefers dry, well-drained soil in full sun."
Buttercup (Ranunculus acris)," Bright yellow flowers blooming in spring (April-May). Thrives in moist, well-drained soil."
Common Thistle (Cirsium vulgare)," Purple flowers blooming in late spring (May-June). Grows well in dry, disturbed soils in full sun."
Spiraea (Spiraea spp.), Small white or pink flowers blooming in late spring (May). Prefers full sun and well-drained soil.
Giant Fennel (Ferula communis), Yellowish flowers blooming in late spring (May). Thrives in well-drained soil and full sun.
Yellow Balsam (Impatiens nolitangere), Yellow flowers blooming in early spring (March-April). Prefers partial shade and moist soil.
Red-berried Elder (Sambucus racemosa)," Small white flowers blooming in late spring (May). Thrives in moist, well-drained soil."
Cow Parsnip (Heracleum maximum)," Large white flowers blooming in late spring (May-June). Prefers moist, well-drained soil."
Common Yarrow (Achillea millefolium)," White or yellow flowers blooming in late spring (May-June). Prefers dry, well-drained soil in full sun."
Creeping Charlie (Glechoma hederacea)," Purple flowers blooming in late spring (May-June). Thrives in shady, moist areas."
